"videostatsid","ytvideoid","views","comments","likes","dislikes","timestamp"
"1","0GLbwkfhYZk","5722228","28229","185188","10860","2019-04-15 04:42:49"
"2","O4NB73HTlxI","3673770","31565","278477","4705","2019-04-15 04:42:50"
"3","VVRcXtSjPcE","253613","1025","4587","87","2019-04-15 04:42:51"
"4","adzYW5DZoWs","21567972","79208","478496","61703","2019-04-15 04:42:51"
"5","p_8yK2kmxoo","2385064","10703","133304","1323","2019-04-15 04:42:52"
"6","g7itQNVeFB4","557918","4100","19912","1087","2019-04-15 04:42:53"
"7","BJzJtm7OfdQ","730353","5548","54053","778","2019-04-15 04:42:53"
"8","qOkZiVlQHMs","687215","1503","16473","188","2019-04-15 04:42:53"
"9","I47_jCtfYlE","1233841","5023","15003","451","2019-04-15 04:42:54"
"10","5jDsPkPjVK4","527506","3267","23916","816","2019-04-15 04:42:54"
"11","C4_UntN6O2A","731316","2977","30370","401","2019-04-15 04:42:55"
"12","a5vg_Yi42Ok","1341328","3723","35909","1319","2019-04-15 04:42:55"
"13","CikXQvz57ZU","369360","738","8212","207","2019-04-15 04:42:56"
"14","2x8guH7hsgc","2111088","31733","37922","26318","2019-04-15 04:42:56"
"15","AFWIu243KY8","219876","461","1473","131","2019-04-15 04:42:57"
"16","h3P5Hrblbe0","222234","462","14369","42","2019-04-15 04:42:57"
"17","KMwuyXQcWfI","557522","993","6867","180","2019-04-15 04:42:58"
"18","AJKDh52Ehac","216046","1031","6680","140","2019-04-15 04:42:58"
"19","VSPuRXkUWoU","1501549","8788","229079","424","2019-04-15 04:42:59"
"20","u5jugGl_pu0","575055","3107","55205","131","2019-04-15 04:42:59"
"21","kOd19ljsklQ","2457543","10688","117004","965","2019-04-15 04:43:00"
"22","_aHE8lgalJU","169160","6242","20293","63","2019-04-15 04:43:00"
"23","04WYGo4rfdw","926734","2005","15095","557","2019-04-15 04:43:01"
"24","QuderoyWqII","6721811","40732","326302","10954","2019-04-15 04:43:01"
"25","zKfmiAYiC-M","1516348","4771","24578","1362","2019-04-15 04:43:02"
"26","6gfh2UfcJFw","349236","1457","18591","175","2019-04-15 04:43:02"
"27","nKh_yq627WM","528556","7485","47413","342","2019-04-15 04:43:03"
"28","XsX3ATc3FbA","127803220","2752278","8043764","334892","2019-04-15 04:43:03"
"29","mWkP7esvuiw","1063858","1776","14258","251","2019-04-15 04:43:04"
"30","zIG2yCvG3TI","296226","678","2135","194","2019-04-15 04:43:04"
"31","-9txATEWXTQ","7109397","36434","411965","12987","2019-04-15 04:43:05"
"32","DfggRtdOiTE","846868","2734","5189","204","2019-04-15 04:43:06"
"33","O8CCQopoCAE","538617","4393","40764","429","2019-04-15 04:43:06"
"34","t0t9dul8bOw","1198492","4567","27034","926","2019-04-15 04:43:07"
"35","pY8O7-mpdUk","1194972","3745","10624","1964","2019-04-15 04:43:08"
"36","BPExj-3kaAc","830611","7842","29559","430","2019-04-15 04:43:08"
"37","TW-kag5GG9s","629190","2811","22285","502","2019-04-15 04:43:09"
"38","zaWyIKas2Ww","234306","536","1397","50","2019-04-15 04:43:09"
"39","uv9kDcbJLi8","942589","2601","52995","990","2019-04-15 04:43:10"
"40","f2AuCmxtOSA","405625","2161","21229","334","2019-04-15 04:43:11"
"41","81UpjkAuHJM","343735","642","6082","271","2019-04-15 04:43:11"
"42","NJo8CjVpIEw","883470","2427","7906","1164","2019-04-15 04:43:12"
"43","NbhiGb_pZ-g","2244377","14616","123447","1866","2019-04-15 04:43:13"
"44","HkdPYRxYMdc","1442319","6351","56641","1849","2019-04-15 04:43:13"
"45","f5bJ5acwZtI","1979184","19061","210748","4144","2019-04-15 04:43:14"
"46","LLR0jg7Xu9M","619987","525","11957","156","2019-04-15 04:43:14"
"47","0flfyCjIh8M","953525","2546","20152","360","2019-04-15 04:43:14"
"48","QaZ93sibpk0","21360718","51602","546216","38158","2019-04-15 04:43:15"
"49","mQ2fJ_aM_T0","1227903","5775","53149","621","2019-04-15 04:43:15"
"50","26EivpCPHnQ","2853915","20940","130432","1313","2019-04-15 04:43:17"
